time,I,R,D
15-Apr-2020 02:24:00,571524.227158022,61530.3588330017,28896.6406362826
15-Apr-2020 04:48:00,573646.746115978,62089.9900509854,29127.8814541023
15-Apr-2020 07:12:00,575755.987682718,62651.9419857114,29359.7640361015
15-Apr-2020 09:36:00,577851.88097784,63216.2013247597,29592.2816448456
15-Apr-2020 12:00:00,579934.357105865,63782.7546646785,29825.4275314847
15-Apr-2020 14:24:00,582003.349148191,64351.5885132075,30059.1949366243
15-Apr-2020 16:48:00,584058.792154696,64922.689291496,30293.5770911888
15-Apr-2020 19:12:00,586100.623134986,65496.043336312,30528.567217278
15-Apr-2020 21:36:00,588128.781049293,66071.6369022446,30764.158529016
16-Apr-2020 00:00:00,590143.206799044,66649.4561638978,31000.3442333925
16-Apr-2020 02:24:00,592143.843217095,67229.4872180752,31237.117531097
16-Apr-2020 04:48:00,594130.635057645,67811.7160859562,31474.471617345
16-Apr-2020 07:12:00,596103.528985837,68396.1287152621,31712.3996826959
16-Apr-2020 09:36:00,598062.473567055,68982.7109824132,31950.8949138645
16-Apr-2020 12:00:00,600007.41925592,69571.4486946744,32189.9504945225
16-Apr-2020 14:24:00,601938.318384999,70162.3275922909,32429.5596060942
16-Apr-2020 16:48:00,603855.125153233,70755.3333506132,32669.715428542
16-Apr-2020 19:12:00,605757.795614083,71350.4515822096,32910.4111411452
16-Apr-2020 21:36:00,607646.287663422,71947.6678389677,33151.6399232698
17-Apr-2020 00:00:00,609520.561027154,72546.9676141842,33393.3949551302
17-Apr-2020 02:24:00,611380.577248595,73148.3363446412,33635.6694185423
17-Apr-2020 04:48:00,613226.299675598,73751.7594126706,33878.4564976685
17-Apr-2020 07:12:00,615057.69344745,74357.2221482053,34121.7493797538
17-Apr-2020 09:36:00,616874.725481538,74964.709830817,34365.5412558535
17-Apr-2020 12:00:00,618677.364459793,75574.20769174,34609.8253215523
17-Apr-2020 14:24:00,620465.580814919,76185.7009158819,34854.5947776747
17-Apr-2020 16:48:00,622239.346716415,76799.174643819,35099.8428309867
17-Apr-2020 19:12:00,623998.636056402,77414.6139737784,35345.5626948883
17-Apr-2020 21:36:00,625743.424435253,78032.0039636045,35591.7475900983
18-Apr-2020 00:00:00,627473.689147037,78651.3296327109,35838.3907453289
18-Apr-2020 02:24:00,629189.409164793,79272.5759640168,36085.4853979525
18-Apr-2020 04:48:00,630890.565125619,79895.7279058682,36333.0247946592
18-Apr-2020 07:12:00,632577.13931561,80520.7703739437,36581.0021921052
18-Apr-2020 09:36:00,634249.115654635,81147.6882531435,36829.4108575524
18-Apr-2020 12:00:00,635906.479680955,81776.466399463,37078.2440694996
18-Apr-2020 14:24:00,637549.218535711,82407.0896418499,37327.4951183034
18-Apr-2020 16:48:00,639177.320947263,83039.5427840452,37577.1573067918
18-Apr-2020 19:12:00,640790.777215407,83673.8106064063,37827.2239508673
18-Apr-2020 21:36:00,642389.579195461,84309.8778677147,38077.6883801017
19-Apr-2020 00:00:00,643973.720282237,84947.7293069657,38328.5439383221
31-Mar-2020 00:00:00,178962,8258,3762
31-Mar-2020 02:24:00,181559.632475326,8410.87391028347,3859.99107980976
31-Mar-2020 04:48:00,184159.557885822,8565.95175961544,3959.10563296235
31-Mar-2020 07:12:00,186761.930006843,8723.23555870296,4059.33757323309
31-Mar-2020 09:36:00,189366.889696578,8882.72744315534,4160.68091594004
31-Mar-2020 12:00:00,191974.565353486,9044.42966272463,4263.12977013669
31-Mar-2020 14:24:00,194585.073357204,9208.34457092696,4366.67833115145
31-Mar-2020 16:48:00,197198.518493655,9374.47461503108,4471.32087345993
31-Mar-2020 19:12:00,199814.99436501,9542.82232640096,4577.05174387713
31-Mar-2020 21:36:00,202434.583785172,9713.39031117985,4683.86535505678
01-Apr-2020 00:00:00,205057.359161397,9886.18124130384,4791.75617928588
01-Apr-2020 02:24:00,207683.382862627,10061.1978458334,4900.71874256281
01-Apr-2020 04:48:00,210312.707575111,10238.4429025918,5010.74761894818
01-Apr-2020 07:12:00,212945.376645844,10417.9192301,5121.8374251776
01-Apr-2020 09:36:00,215581.424414329,10599.6296797978,5233.98281552647
01-Apr-2020 12:00:00,218220.876533161,10783.5771285415,5347.17847691695
01-Apr-2020 14:24:00,220863.750277881,10969.764471369,5461.41912425786
01-Apr-2020 16:48:00,223510.054846555,11158.1946145232,5576.69949600865
01-Apr-2020 19:12:00,226159.791649496,11348.870468725,5693.01434995882
01-Apr-2020 21:36:00,228812.954589534,11541.7949426885,5810.35845921469
02-Apr-2020 00:00:00,231469.530333206,11736.9709368698,5928.72660838554
02-Apr-2020 02:24:00,234129.498573255,11934.4013374418,6048.11358996176
02-Apr-2020 04:48:00,236792.832282767,12134.0890104884,6168.51420087762
02-Apr-2020 07:12:00,239459.497961286,12336.0367964105,6289.92323925182
02-Apr-2020 09:36:00,242129.455873229,12540.2475045377,6412.33550129907
02-Apr-2020 12:00:00,244802.660278904,12746.7239079393,6535.74577840644
02-Apr-2020 14:24:00,247479.059658414,12955.468738427,6660.14885436818
02-Apr-2020 16:48:00,250158.596928729,13166.4846817462,6785.53950277319
02-Apr-2020 19:12:00,252841.20965419,13379.7743729474,6911.91248453947
02-Apr-2020 21:36:00,255526.830250696,13595.3403919338,7039.26254559008
03-Apr-2020 00:00:00,258215.386183811,13813.1852591796,7167.58441466535
03-Apr-2020 02:24:00,260906.800161027,14033.3114316136,7296.8728012663
03-Apr-2020 04:48:00,263600.990318395,14255.7212986635,7427.12239372447
03-Apr-2020 07:12:00,266297.870401738,14480.4171784565,7558.32785739343
03-Apr-2020 09:36:00,268997.349942646,14707.4013141707,7690.48383295749
03-Apr-2020 12:00:00,271699.334429434,14936.6758705341,7823.58493485334
03-Apr-2020 14:24:00,274403.725473262,15168.2429304664,7957.62574980036
03-Apr-2020 16:48:00,277110.420969575,15402.10449186,8092.60083543568
03-Apr-2020 19:12:00,279819.315255036,15638.2624644948,8228.50471905008
03-Apr-2020 21:36:00,282530.299260113,15876.7186670861,8365.33189642101
04-Apr-2020 00:00:00,285243.260657461,16117.4748244586,8503.07683073911
04-Apr-2020 02:24:00,287958.084006259,16360.5325648449,8641.7339516249
04-Apr-2020 04:48:00,290674.650892626,16605.8934173052,8781.2976542321
04-Apr-2020 07:12:00,293392.840066256,16853.5588092639,8921.76229843452
04-Apr-2020 09:36:00,296112.527573392,17103.5300641611,9063.12220809334
04-Apr-2020 12:00:00,298833.586886271,17355.8083992145,9205.37167040182
04-Apr-2020 14:24:00,301555.889029144,17610.3949232904,9348.50493530453
04-Apr-2020 16:48:00,304279.302700977,17867.2906348801,9492.51621498823
04-Apr-2020 19:12:00,307003.694394961,18126.4964201782,9637.3996834419
04-Apr-2020 21:36:00,309728.928514905,18388.0130512623,9783.14947608303
05-Apr-2020 00:00:00,312454.867488622,18651.8411843687,9929.75968944796
05-Apr-2020 02:24:00,315181.371878404,18917.981358264,10077.2243809435
05-Apr-2020 04:48:00,317908.300488661,19186.4339927087,10225.5375686578
05-Apr-2020 07:12:00,320635.510470819,19457.1993870109,10374.6932312281
05-Apr-2020 09:36:00,323362.857425555,19730.2777186687,10524.6853077627
05-Apr-2020 12:00:00,326090.195502438,20005.6690420964,10675.5076978159
05-Apr-2020 14:24:00,328817.37749707,20283.3732874363,10827.1542614131
05-Apr-2020 16:48:00,331544.254945773,20563.3902594499,10979.6188191246
05-Apr-2020 19:12:00,334270.678217906,20845.7196364897,11132.8951521854
05-Apr-2020 21:36:00,336996.496605877,21130.360969548,11286.9770026601
06-Apr-2020 00:00:00,339721.558412897,21417.3136813804,11441.8580736501
06-Apr-2020 02:24:00,342445.711038559,21706.5770657038,11597.5320295429
06-Apr-2020 04:48:00,345168.801062277,21998.1502864655,11753.9924962992
06-Apr-2020 07:12:00,347890.674324651,22292.032377182,11911.2330617793
06-Apr-2020 09:36:00,350611.176006818,22588.2222403467,12069.2472761042
06-Apr-2020 12:00:00,353330.150707815,22886.7186469031,12228.0286520525
06-Apr-2020 14:24:00,356047.44252003,23187.5202357836,12387.5706654894
06-Apr-2020 16:48:00,358762.895102771,23490.6255135109,12547.8667558279
06-Apr-2020 19:12:00,361476.351754003,23796.0328538616,12708.9103265198
06-Apr-2020 21:36:00,364187.655480291,24103.7404975891,12870.694745576
07-Apr-2020 00:00:00,366896.649065003,24413.746552206,13033.2133461139
07-Apr-2020 02:24:00,369603.175134794,24726.0489918225,13196.4594269309
07-Apr-2020 04:48:00,372307.076224427,25040.6456570418,13360.4262531033
07-Apr-2020 07:12:00,375008.194839953,25357.5342549086,13525.1070566088
07-Apr-2020 09:36:00,377706.3735203,25676.7123589112,13690.4950369713
07-Apr-2020 12:00:00,380401.454897293,25998.1774090347,13856.5833619275
07-Apr-2020 14:24:00,383093.28175414,26321.9267118651,14023.3651681132
07-Apr-2020 16:48:00,385781.697082424,26647.9574407415,14190.83356177
07-Apr-2020 19:12:00,388466.544137621,26976.2666359568,14358.9816194688
07-Apr-2020 21:36:00,391147.666493182,27306.8512050043,14527.8023888515
08-Apr-2020 00:00:00,393824.9080932,27639.7079228699,14697.2888893883
08-Apr-2020 02:24:00,396498.113303695,27974.8334323685,14867.4341131506
08-Apr-2020 04:48:00,399167.126962545,28312.2242445225,15038.231025598
08-Apr-2020 07:12:00,401831.794428081,28651.8767389833,15209.6725663787
08-Apr-2020 09:36:00,404491.96162638,28993.7871644924,15381.7516501428
08-Apr-2020 12:00:00,407147.475097272,29337.951639383,15554.4611673663
08-Apr-2020 14:24:00,409798.182039094,29684.3661521187,15727.7939851873
08-Apr-2020 16:48:00,412443.930352205,30033.0265618713,15901.7429482511
08-Apr-2020 19:12:00,415084.568681287,30383.9285991341,16076.3008795651
08-Apr-2020 21:36:00,417719.946456459,30737.0678663701,16251.4605813622
09-Apr-2020 00:00:00,420349.913933211,31092.4398386956,16427.2148359718
09-Apr-2020 02:24:00,422974.322231202,31450.0398645968,16603.5564066979
09-Apr-2020 04:48:00,425593.023371907,31809.8631666782,16780.4780387038
09-Apr-2020 07:12:00,428205.870315174,32171.9048424436,16957.972459902
09-Apr-2020 09:36:00,430812.716994672,32536.1598651065,17136.0323818497
09-Apr-2020 12:00:00,433413.418352273,32902.6230844308,17314.6505006483
09-Apr-2020 14:24:00,436007.830371376,33271.2892276004,17493.8194978469
09-Apr-2020 16:48:00,438595.810109186,33642.1529001155,17673.5320413489
09-Apr-2020 19:12:00,441177.215727985,34015.2085867173,17853.7807863214
09-Apr-2020 21:36:00,443751.90652538,34390.4506523377,18034.5583761064
10-Apr-2020 00:00:00,446319.742963579,34767.8733430747,18215.8574431336
10-Apr-2020 02:24:00,448880.58669768,35147.4707871922,18397.6706098343
